product_id,product_name,product_price
101,Product A,50.00
102,Product B,30.00
103,Product C,75.00
104,Product D,45.00
105,Product E,60.00
106,Product F,20.00
107,Product G,70.00
108,Product H,35.00
109,Product I,55.00
110,Product J,40.00
111,Product K,65.00
112,Product L,25.00
113,Product M,80.00
114,Product N,48.00
115,Product O,58.00
116,Product P,22.00
117,Product Q,72.00
118,Product R,38.00
119,Product S,52.00
120,Product T,42.00
121,Product U,68.00
122,Product V,27.00
123,Product W,90.00
124,Product X,51.00
125,Product Y,63.00
126,Product Z,33.00
127,Product AA,75.00
128,Product BB,44.00
129,Product CC,57.00
130,Product DD,29.00
131,Product EE,78.00
132,Product FF,47.00
133,Product GG,61.00
134,Product HH,37.00
135,Product II,54.00
136,Product JJ,41.00
137,Product KK,70.00
138,Product LL,24.00
139,Product MM,85.00
140,Product NN,46.00
141,Product OO,56.00
142,Product PP,21.00
143,Product QQ,73.00
144,Product RR,36.00
145,Product SS,50.00
146,Product TT,43.00
147,Product UU,67.00
148,Product VV,26.00
149,Product WW,95.00
150,Product XX,53.00
151,Product YY,62.00
152,Product ZZ,32.00
153,Product AAA,75.00
154,Product BBB,49.00
155,Product CCC,59.00
156,Product DDD,23.00
157,Product EEE,80.00
158,Product FFF,45.00
159,Product GGG,64.00
160,Product HHH,34.00
161,Product III,56.00
162,Product JJJ,39.00
163,Product KKK,69.00
164,Product LLL,28.00
165,Product MMM,88.00
166,Product NNN,52.00
167,Product OOO,60.00
168,Product PPP,19.00
169,Product QQQ,76.00
170,Product RRR,40.00
171,Product SSS,51.00
172,Product TTT,44.00
173,Product UUU,65.00
174,Product VVV,31.00
175,Product WWW,92.00
176,Product XXX,48.00
177,Product YYY,61.00
178,Product ZZZ,30.00
179,Product AAAA,74.00
180,Product BBBB,43.00
181,Product CCCC,58.00
182,Product DDDD,18.00
183,Product EEEE,84.00
184,Product FFFF,42.00
185,Product GGGG,63.00
186,Product HHHH,33.00
187,Product IIII,57.00
188,Product JJJJ,38.00
189,Product KKKK,68.00
190,Product LLLL,29.00
191,Product MMMM,90.00
192,Product NNNN,50.00
193,Product OOOO,59.00
194,Product PPPP,20.00
195,Product QQQQ,75.00
196,Product RRRR,47.00
197,Product SSSS,62.00
198,Product TTTT,32.00
199,Product UUUU,71.00
200,Product VVVV,25.00
